Blender 2.82 (sub 7) (hash 375c7dc4caf4 built 2020-03-12 05:30:40)
found bundled python: /usr/local/blender/2.82/python
Read blend: /blender/scene.blend
Fra:2 Mem:78.46M (0.00M, Peak 78.46M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Synchronizing object | Cube
Fra:2 Mem:78.47M (0.00M, Peak 78.47M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Synchronizing object | Plane
Fra:2 Mem:78.47M (0.00M, Peak 78.47M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Initializing
Fra:2 Mem:78.28M (0.00M, Peak 78.50M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Waiting for render to start
Fra:2 Mem:78.30M (0.00M, Peak 78.50M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Loading render kernels (may take a few minutes the first time)
Fra:2 Mem:78.30M (0.00M, Peak 78.50M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene
Fra:2 Mem:78.30M (0.00M, Peak 78.50M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Shaders
Fra:2 Mem:78.80M (0.00M, Peak 78.80M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Background
Fra:2 Mem:78.80M (0.00M, Peak 78.80M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Camera
Fra:2 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Meshes Flags
Fra:2 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects
Fra:2 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects | Copying Transformations to device
Fra:2 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects | Applying Static Transformations
Fra:2 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Hair Systems
Fra:2 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Hair settings | Copying Hair settings to device
Fra:2 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Particle Systems
Fra:2 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Particle Systems | Copying Particles to device
Fra:2 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Meshes
Fra:2 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Computing attributes
Fra:2 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Copying Attributes to device
Fra:2 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh BVH Cube 1/1 | Building BVH
Fra:2 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh BVH Cube 1/1 | Packing BVH triangles and strands
Fra:2 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh BVH Cube 1/1 | Packing BVH nodes
Fra:2 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Building
Fra:2 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Building BVH
Fra:2 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Packing BVH triangles and strands
Fra:2 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Packing BVH nodes
Fra:2 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Copying BVH to device
Fra:2 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Computing normals
Fra:2 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Copying Mesh to device
Fra:2 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects Flags
Fra:2 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Images
Fra:2 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Camera Volume
Fra:2 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Lookup Tables
Fra:2 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.26M, Peak:0.26M | Scene, View Layer | Updating Lights
Fra:2 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.26M, Peak:0.26M | Scene, View Layer | Updating Lights | Computing distribution
Fra:2 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.26M, Peak:0.26M | Scene, View Layer | Updating Integrator
Fra:2 Mem:80.08M (0.00M, Peak 80.08M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Film
Fra:2 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.28M, Peak:1.53M | Scene, View Layer | Updating Lookup Tables
Fra:2 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Baking
Fra:2 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Device | Writing constant memory
Fra:2 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Device | Writing constant memory | Compiling render kernels
Fra:2 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Device | Writing constant memory
Fra:2 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Rendered 0/510 Tiles, Denoised 0 tiles
Fra:2 Mem:83.61M (0.00M, Peak 83.81M) | Time:00:00.13 | Remaining:00:08.54 | Mem:5.05M, Peak:5.05M | Scene, View Layer | Rendered 1/510 Tiles, Denoised 0 tiles
Fra:2 Mem:84.11M (0.00M, Peak 84.31M) | Time:00:00.14 | Remaining:00:08.42 | Mem:5.55M, Peak:5.55M | Scene, View Layer | Rendered 2/510 Tiles, Denoised 0 tiles
Fra:2 Mem:85.11M (0.00M, Peak 85.31M) | Time:00:00.16 | Remaining:00:07.60 | Mem:6.55M, Peak:6.55M | Scene, View Layer | Rendered 3/510 Tiles, Denoised 0 tiles
Fra:2 Mem:85.61M (0.00M, Peak 85.81M) | Time:00:00.18 | Remaining:00:06.75 | Mem:7.05M, Peak:7.05M | Scene, View Layer | Rendered 4/510 Tiles, Denoised 0 tiles
Fra:2 Mem:86.11M (0.00M, Peak 86.31M) | Time:00:00.19 | Remaining:00:06.36 | Mem:7.55M, Peak:7.55M | Scene, View Layer | Rendered 5/510 Tiles, Denoised 0 tiles
Fra:2 Mem:86.61M (0.00M, Peak 86.81M) | Time:00:00.19 | Remaining:00:06.44 | Mem:8.05M, Peak:8.05M | Scene, View Layer | Rendered 6/510 Tiles, Denoised 0 tiles
Fra:2 Mem:87.11M (0.00M, Peak 87.31M) | Time:00:00.20 | Remaining:00:06.74 | Mem:8.55M, Peak:8.55M | Scene, View Layer | Rendered 7/510 Tiles, Denoised 0 tiles
Fra:2 Mem:87.61M (0.00M, Peak 87.81M) | Time:00:00.21 | Remaining:00:06.71 | Mem:9.05M, Peak:9.05M | Scene, View Layer | Rendered 8/510 Tiles, Denoised 0 tiles
Fra:2 Mem:87.61M (0.00M, Peak 87.81M) | Time:00:00.21 | Remaining:00:06.77 | Mem:9.05M, Peak:9.05M | Scene, View Layer | Rendered 9/510 Tiles, Denoised 0 tiles
Fra:2 Mem:88.11M (0.00M, Peak 88.31M) | Time:00:00.21 | Remaining:00:06.79 | Mem:9.55M, Peak:9.55M | Scene, View Layer | Rendered 10/510 Tiles, Denoised 0 tiles
Fra:2 Mem:89.11M (0.00M, Peak 89.31M) | Time:00:00.24 | Remaining:00:07.19 | Mem:10.55M, Peak:10.55M | Scene, View Layer | Rendered 11/510 Tiles, Denoised 0 tiles
Fra:2 Mem:89.61M (0.00M, Peak 89.81M) | Time:00:00.31 | Remaining:00:07.79 | Mem:11.05M, Peak:11.05M | Scene, View Layer | Rendered 12/510 Tiles, Denoised 0 tiles
Fra:2 Mem:90.11M (0.00M, Peak 90.31M) | Time:00:00.32 | Remaining:00:07.67 | Mem:11.55M, Peak:11.55M | Scene, View Layer | Rendered 13/510 Tiles, Denoised 0 tiles
Fra:2 Mem:90.61M (0.00M, Peak 90.81M) | Time:00:00.32 | Remaining:00:07.52 | Mem:12.05M, Peak:12.05M | Scene, View Layer | Rendered 14/510 Tiles, Denoised 0 tiles
Fra:2 Mem:90.61M (0.00M, Peak 90.81M) | Time:00:00.32 | Remaining:00:07.55 | Mem:12.05M, Peak:12.05M | Scene, View Layer | Rendered 15/510 Tiles, Denoised 0 tiles
Fra:2 Mem:91.11M (0.00M, Peak 91.31M) | Time:00:00.33 | Remaining:00:07.59 | Mem:12.55M, Peak:12.55M | Scene, View Layer | Rendered 16/510 Tiles, Denoised 0 tiles
Fra:2 Mem:91.61M (0.00M, Peak 91.81M) | Time:00:00.33 | Remaining:00:07.64 | Mem:13.05M, Peak:13.05M | Scene, View Layer | Rendered 17/510 Tiles, Denoised 0 tiles
Fra:2 Mem:92.11M (0.00M, Peak 92.31M) | Time:00:00.33 | Remaining:00:07.61 | Mem:13.55M, Peak:13.55M | Scene, View Layer | Rendered 18/510 Tiles, Denoised 0 tiles
Fra:2 Mem:92.61M (0.00M, Peak 92.81M) | Time:00:00.33 | Remaining:00:07.54 | Mem:14.05M, Peak:14.05M | Scene, View Layer | Rendered 19/510 Tiles, Denoised 0 tiles
Fra:2 Mem:93.61M (0.00M, Peak 93.81M) | Time:00:00.36 | Remaining:00:07.16 | Mem:15.05M, Peak:15.05M | Scene, View Layer | Rendered 20/510 Tiles, Denoised 0 tiles
Fra:2 Mem:94.11M (0.00M, Peak 94.31M) | Time:00:00.38 | Remaining:00:07.07 | Mem:15.55M, Peak:15.55M | Scene, View Layer | Rendered 21/510 Tiles, Denoised 0 tiles
Fra:2 Mem:94.61M (0.00M, Peak 94.81M) | Time:00:00.40 | Remaining:00:06.88 | Mem:16.05M, Peak:16.05M | Scene, View Layer | Rendered 22/510 Tiles, Denoised 0 tiles
Fra:2 Mem:95.11M (0.00M, Peak 95.31M) | Time:00:00.40 | Remaining:00:06.71 | Mem:16.55M, Peak:16.55M | Scene, View Layer | Rendered 23/510 Tiles, Denoised 0 tiles
Fra:2 Mem:95.61M (0.00M, Peak 95.81M) | Time:00:00.41 | Remaining:00:06.68 | Mem:17.05M, Peak:17.05M | Scene, View Layer | Rendered 24/510 Tiles, Denoised 0 tiles
Fra:2 Mem:96.11M (0.00M, Peak 96.31M) | Time:00:00.41 | Remaining:00:06.75 | Mem:17.55M, Peak:17.55M | Scene, View Layer | Rendered 25/510 Tiles, Denoised 0 tiles
Fra:2 Mem:96.61M (0.00M, Peak 96.81M) | Time:00:00.41 | Remaining:00:06.67 | Mem:18.05M, Peak:18.05M | Scene, View Layer | Rendered 26/510 Tiles, Denoised 0 tiles
Fra:2 Mem:97.11M (0.00M, Peak 97.31M) | Time:00:00.42 | Remaining:00:06.69 | Mem:18.55M, Peak:18.55M | Scene, View Layer | Rendered 27/510 Tiles, Denoised 0 tiles
Fra:2 Mem:97.61M (0.00M, Peak 97.81M) | Time:00:00.42 | Remaining:00:06.69 | Mem:19.05M, Peak:19.05M | Scene, View Layer | Rendered 28/510 Tiles, Denoised 0 tiles
Fra:2 Mem:98.11M (0.00M, Peak 98.31M) | Time:00:00.42 | Remaining:00:06.72 | Mem:19.55M, Peak:19.55M | Scene, View Layer | Rendered 29/510 Tiles, Denoised 0 tiles
Fra:2 Mem:98.61M (0.00M, Peak 98.81M) | Time:00:00.48 | Remaining:00:06.63 | Mem:20.05M, Peak:20.05M | Scene, View Layer | Rendered 30/510 Tiles, Denoised 0 tiles
Fra:2 Mem:99.11M (0.00M, Peak 99.31M) | Time:00:00.48 | Remaining:00:06.55 | Mem:20.55M, Peak:20.55M | Scene, View Layer | Rendered 31/510 Tiles, Denoised 0 tiles
Fra:2 Mem:99.61M (0.00M, Peak 99.81M) | Time:00:00.49 | Remaining:00:06.57 | Mem:21.05M, Peak:21.05M | Scene, View Layer | Rendered 32/510 Tiles, Denoised 0 tiles
Fra:2 Mem:100.11M (0.00M, Peak 100.31M) | Time:00:00.50 | Remaining:00:06.57 | Mem:21.55M, Peak:21.55M | Scene, View Layer | Rendered 33/510 Tiles, Denoised 0 tiles
